,Timestamp,Plant ID,Trimmer,Weight (g)
82,2017-04-18 10:43:55.133,Strawberry Kush,Smitty,61.0
83,2017-04-18 10:44:31.039,Strawberry Kush,HOUSE,165.0
84,2017-04-18 13:02:42.435,Strawberry Kush,HOUSE,29.0
85,2017-04-18 13:02:57.414,Strawberry Kush,HOUSE,24.0
86,2017-04-18 13:09:53.111,Strawberry Kush,Smitty,41.0
87,2017-04-18 15:08:44.716,Strawberry Kush,HOUSE,29.0
88,2017-04-18 15:09:05.778,Strawberry Kush,HOUSE,28.0
89,2017-04-18 15:13:55.304,Strawberry Kush,Smitty,37.0
90,2017-04-18 15:59:33.845,Strawberry Kush,HOUSE,10.0
91,2017-04-18 15:59:54.102,Strawberry Kush,Smitty,3.0
92,2017-04-18 19:35:38.733,Strawberry Kush,HOUSE,12.0
93,2017-04-18 20:01:54.174,Strawberry Kush,Smitty,25.3
94,2017-04-18 22:35:06.573,LA Chocolate,HOUSE,30.8
95,2017-04-18 22:35:22.969,LA Chocolate,HOUSE,10.0
96,2017-04-18 22:45:33.420,LA Chocolate,Smitty,19.5
97,2017-04-19 22:32:13.354,LA Chocolate,HOUSE,9.0
98,2017-04-19 22:33:34.903,Sour Power,Smitty,8.2
99,2017-04-20 12:20:16.541,LA Chocolate,Smitty,25.6
100,2017-04-20 12:21:00.678,LA Chocolate,HOUSE,42.0
101,2017-04-20 12:26:14.097,Sour Power,Smitty,28.0
102,2017-04-20 12:28:20.424,Sour Power,Smitty,42.0
103,2017-04-20 15:25:14.844,Sour Power,HOUSE,84.0
104,2017-04-20 22:31:34.627,Sour Power,Kev,7.3
105,2017-04-22 16:09:55.636,LA Chocolate,HOUSE,14.0
106,2017-04-22 16:11:17.938,Gorilla Glue #4,HOUSE,28.0
107,2017-04-22 23:05:47.626,Sour Power,Kev,90.0
108,2017-04-22 23:07:28.498,Sour Power,Smitty,101.0
109,2017-04-22 23:08:54.106,Sour Power,HOUSE,3.5
110,2017-04-22 23:09:50.413,Gorilla Glue #4,Kev,36.0
111,2017-04-22 23:11:33.414,Gorilla Glue #4,HOUSE,44.5
112,2017-04-22 23:12:17.466,Gorilla Glue #4,Grant,19.5
113,2017-04-22 23:13:28.005,Gorilla Glue #4,Smitty,150.0
114,2017-04-22 23:14:11.886,Gorilla Glue #4,Smitty,39.5
115,2017-04-22 23:15:05.779,Gorilla Glue #4,Gaby,127.5
116,2017-04-22 23:16:16.871,LA Chocolate,Kev,78.0
117,2017-04-22 23:17:36.245,LA Chocolate,Smitty,140.0
118,2017-04-22 23:18:12.920,LA Chocolate,Gaby,92.0
119,2017-04-23 00:55:31.652,Sp Candy Land,Gaby,38.1
120,2017-04-23 00:57:30.789,Sp Candy Land,Smitty,18.1
121,2017-04-23 16:03:13.359,Lemon Puff,MRSD,50.3
122,2017-04-23 16:05:03.868,Lemon Puff,Dave,49.8
123,2017-04-25 02:02:18.730,NY City Diesel,Kev,130.0
124,2017-04-25 02:39:16.223,NY City Diesel,HOUSE,87.0
125,2017-04-25 02:40:28.960,NY City Diesel,Smitty,132.5
126,2017-04-25 02:42:13.139,Lemon Puff,HOUSE,106.0
127,2017-04-25 02:45:36.345,Lemon Puff,Smitty,180.0
128,2017-04-25 23:46:21.395,NY City Diesel,Smitty,109.0
129,2017-04-30 00:55:28.503,LA Chocolate,Gaby,125.0
130,2017-04-30 00:57:04.548,LA Chocolate,Gaby,68.0
131,2017-04-30 00:58:11.689,Strawberry Kush,Gaby,26.0
132,2017-04-30 00:59:31.518,Sour Power,Gaby,39.0
133,2017-05-01 09:49:20.175,Gorilla Glue #4,HOUSE,25.0
134,2017-05-01 09:49:44.955,Strawberry Kush,HOUSE,7.0
135,2017-05-01 09:50:18.898,Sour Power,HOUSE,47.5
136,2017-05-01 09:51:26.697,LA Chocolate,Quinn,26.0
137,2017-05-01 09:52:26.514,LA Chocolate,TPain,42.5
138,2017-05-01 09:53:02.720,Strawberry Kush,Grant,26.0
139,2017-05-01 09:54:29.826,Gorilla Glue #4,Grant,98.0
140,2017-05-01 09:55:34.188,Sour Power,Smitty,69.0
141,2017-05-01 09:58:33.366,Strawberry Kush,Smitty,121.0
142,2017-05-01 09:59:36.960,Gorilla Glue #4,Smitty,77.5
143,2017-05-01 10:01:54.890,LA Chocolate,Smitty,116.0
144,2017-05-01 10:02:07.734,LA Chocolate,Smitty,55.0
