,Timestamp,Plant ID,Trimmer,Weight (g),Simple_Date
0,2018-05-09 00:12:04.163,A02,TPain,43.0,2018-05-09 00:00:00
1,2018-05-09 00:24:46.277,A02,Smit,46.5,2018-05-09 00:00:00
2,2018-05-09 01:21:56.323,A02,Smit,32.5,2018-05-09 00:00:00
3,2018-05-09 18:11:14.537,A02,Smit,65.5,2018-05-09 00:00:00
4,2018-05-09 18:11:26.638,A02,Smit,26.0,2018-05-09 00:00:00
5,2018-05-09 18:11:39.061,A02,TPain,96.0,2018-05-09 00:00:00
6,2018-05-11 16:49:42.734,A01,TPain,48.0,2018-05-11 00:00:00
7,2018-05-11 16:49:56.959,A01,Smit,39.5,2018-05-11 00:00:00
8,2018-05-17 22:33:25.938,B04,House,118.0,2018-05-17 00:00:00
9,2018-05-17 22:34:06.786,B02,House,105.0,2018-05-17 00:00:00
10,2018-05-17 23:57:14.198,B02,TPain,105.0,2018-05-17 00:00:00
11,2018-05-18 00:29:14.455,B01,Smit,172.0,2018-05-17 00:00:00
12,2018-05-18 10:51:41.759,B06,TPain,69.0,2018-05-17 00:00:00
13,2018-05-18 13:26:11.833,B06,Smit,84.0,2018-05-18 00:00:00
14,2018-05-18 13:26:27.231,B06,TPain,73.0,2018-05-18 00:00:00
15,2018-05-18 19:10:13.418,C01,TPain,125.0,2018-05-18 00:00:00
16,2018-05-18 19:20:23.000,C02,Smit,116.5,2018-05-18 00:00:00
17,2018-05-18 22:23:48.941,C03,Smit,43.5,2018-05-18 00:00:00
18,2018-05-18 22:24:02.891,C03,TPain,45.0,2018-05-18 00:00:00
19,2018-05-19 15:37:34.822,B03,Smit,82.5,2018-05-19 00:00:00
20,2018-05-19 15:38:33.202,B03,TPain,52.4,2018-05-19 00:00:00
21,2018-05-19 20:54:03.188,B05,TPain,50.0,2018-05-19 00:00:00
22,2018-05-19 20:54:19.005,B02,TPain,81.0,2018-05-19 00:00:00
23,2018-05-19 20:54:37.742,C03,Smit,81.5,2018-05-19 00:00:00
24,2018-05-20 01:47:44.911,D01,Smit,57.5,2018-05-19 00:00:00
25,2018-05-20 01:47:59.564,D01,TPain,53.0,2018-05-19 00:00:00
26,2018-05-20 13:54:09.945,D01,Smit,50.5,2018-05-20 00:00:00
27,2018-05-20 13:54:27.252,E01,TPain,18.0,2018-05-20 00:00:00
28,2018-05-20 13:54:42.477,E01,Smit,12.5,2018-05-20 00:00:00
29,2018-05-20 16:06:46.286,E02,Smit,26.0,2018-05-20 00:00:00
30,2018-05-20 16:07:07.402,E02,TPain,38.0,2018-05-20 00:00:00
31,2018-05-20 18:40:30.247,E03,TPain,24.0,2018-05-20 00:00:00
32,2018-05-20 18:40:49.388,E03,Smit,51.5,2018-05-20 00:00:00
33,2018-05-20 21:05:38.934,E04,Smit,64.0,2018-05-20 00:00:00
34,2018-05-21 22:49:10.542,F01,Smit,114.0,2018-05-21 00:00:00
35,2018-05-21 22:49:26.194,B02,Smit,112.0,2018-05-21 00:00:00
36,2018-05-21 22:49:40.719,F04,Smit,31.5,2018-05-21 00:00:00
37,2018-05-21 22:49:55.545,F04,House,61.0,2018-05-21 00:00:00
38,2018-05-22 01:23:15.716,F06,Smit,61.0,2018-05-21 00:00:00
39,2018-05-22 01:23:33.947,F03,House,40.0,2018-05-21 00:00:00
40,2018-05-22 01:23:54.128,F05,House,38.0,2018-05-21 00:00:00
41,2018-05-23 10:34:42.445,F06,Smit,45.5,2018-05-22 00:00:00
42,2018-05-23 10:34:57.665,F03,Smit,51.5,2018-05-22 00:00:00
43,2018-05-23 10:35:18.780,G01,Smit,81.5,2018-05-22 00:00:00
44,2018-05-23 21:07:44.412,G01,Smit,67.5,2018-05-23 00:00:00
45,2018-05-23 21:08:01.991,G01,Smit,26.0,2018-05-23 00:00:00
46,2018-05-23 21:08:18.443,F03,Smit,31.5,2018-05-23 00:00:00
47,2018-05-23 21:08:34.669,G02,Smit,139.0,2018-05-23 00:00:00
48,2018-05-23 23:09:35.309,G02,Smit,31.5,2018-05-23 00:00:00
49,2018-05-23 23:49:19.918,F05,Smit,14.5,2018-05-23 00:00:00
50,2018-05-27 10:26:00.151,G03,Smit,31.5,2018-05-24 00:00:00
51,2018-05-27 10:26:18.148,G02,Smit,29.0,2018-05-24 00:00:00
52,2018-05-27 10:26:36.915,F05,Smit,29.0,2018-05-24 00:00:00
53,2018-05-27 10:26:48.680,H01,Smit,11.0,2018-05-24 00:00:00
54,2018-05-27 10:27:05.136,G03,Bri,30.0,2018-05-24 00:00:00
55,2018-05-27 10:27:20.291,G02,Bri,24.0,2018-05-24 00:00:00
