Strain Name,Bri,House,Smit,TPain,Total Wt (g),Total Wt (oz)
616 / GG4 ?,,,125.0,45.0,170.0,5.996573536716743
Ancient Whisper,30.0,,310.0,192.0,532.0,18.765747773725337
Blackberry Kush,,118.0,,,118.0,4.162327513721033
Electric Lemon G,26.5,38.0,43.5,,108.0,3.8095878939141663
Filet Migon,,,116.5,,116.5,4.109416570750003
GMO,63.0,105.0,311.5,186.0,665.5,23.474821698147014
Gorilla Butter,,61.0,31.5,,92.5,3.262841483213522
Lemon Pie,,,39.5,48.0,87.5,3.0864716733100885
Lemon Pie #1,,,51.5,24.0,75.5,2.6631841295418477
Lemon Pie #3,,,175.0,,175.0,6.172943346620177
Lemon Puff,,,84.0,142.0,226.0,7.9719154076351995
Meat Breath,,,140.0,38.0,178.0,6.278765232562237
Meat the Cookies,,,172.0,,172.0,6.067121460678116
NYCD,,,12.5,18.0,30.5,1.075855840410945
Peanut Butter Breath,,40.0,83.0,,123.0,4.3386973236244675
Special CandyLand,11.0,,11.0,,22.0,0.7760271635751079
Tang Breath,,,64.0,,64.0,2.2575335667639504
Truffle Butter,29.0,,78.5,,107.5,3.7919509129238227
Watermelon ZDP #1,,,134.0,52.4,186.4,6.575066513200006
Watermelon ZDP #2,,,106.5,,106.5,3.756676950943136
Watermelon ZDP #3,,,,125.0,125.0,4.40924524758584
Wizard Breath,,,,50.0,50.0,1.7636980990343363
