Strain Name,Bob,Brie,Campo,House,Hunter,JJ,Smit,Total Wt (g),Total Wt (oz)
Afgan Kush,,17.7,,50.2,,,108.5,176.4,6.222326893393138
Ancient Whisper,51.7,87.2,39.6,120.0,,,60.8,359.3,12.67393453966074
Big Apple Butter,,34.6,26.6,29.0,,,35.7,125.9,4.440991813368459
Blackberry Kush,,,,,,,339.0,339.0,11.9578731114528
ButterFace,40.7,31.0,73.4,57.4,,,113.9,316.40000000000003,11.160681570689281
Electric Lemon G,,,50.0,68.0,,,57.9,175.9,6.204689912402795
Electric Lemon G #2,,66.6,32.0,88.39999999999999,,,197.2,384.2,13.552256192979838
Filet mignon,,155.6,,,,,128.8,284.4,10.031914787307304
GMO,,223.5,,143.8,11.3,24.3,33.5,436.40000000000003,15.393557008371687
GMO #2,,139.5,,13.7,,,126.1,279.29999999999995,9.8520175812058
GMO #3,,242.8,,140.6,,,,383.4,13.52403702339529
GMO #4,,163.9,117.2,108.5,,,185.0,574.6,20.268418554102592
GMO #5,,80.7,101.4,294.1,,,212.5,688.7,24.293177616098948
Gorilla Butter,,50.3,,38.5,,,295.0,383.8,13.538146608187565
Gorilla Butter #2,32.2,101.2,47.800000000000004,212.2,,,50.7,444.09999999999997,15.665166515622973
Gorilla Butter #3,,126.7,34.8,139.7,,,116.3,417.5,14.726879126936707
Lemon Butter,,65.5,54.3,87.1,,,59.3,266.2,9.389928679258805
Lemon Pie #2,,128.2,90.19999999999999,96.6,,,168.8,483.8,17.065542806256236
Lemon Pie #3,,,61.0,226.9,,,99.3,387.2,13.6580780789219
Lemon Pie (1),,,,41.0,,,309.7,350.7,12.370578466626833
Lemon Puff,,337.7,43.6,336.29999999999995,,,397.9,1115.5,39.34810458945604
Meat Breath,,120.6,49.2,115.3,,,103.3,388.40000000000003,13.700406833298725
Meat The Cookies #3,,81.6,59.7,101.8,,,57.0,300.1,10.585715990404086
Meat the Cookies #2,,73.7,,174.8,,,,248.5,8.76557955220065
Meat the cookies,,89.9,,200.0,,,,289.9,10.225921578201081
Peanut Butter Breath #1,54.9,76.3,32.8,38.3,,,61.9,264.2,9.319380755297432
Peanut Butter Breath #2,,,42.2,149.7,,,95.4,287.29999999999995,10.134209277051294
Watermellon ZDP,,,63.5,188.8,,,109.9,362.20000000000005,12.776229029404734
